numtasks = 2
rank 0: from 1 to 51
numtasks = 2
rank 1: from 52 to 101
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3269600676 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3238385148 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3207471589 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3176857065 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3146538670 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3116513522 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3086778770 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3057331585 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3028169169 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2999288746 global error 0.9691402739 
process 1 error 0.2970687569 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2942362916 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2914312092 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2886532426 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2859040469 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2831869239 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2804958787 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2778306611 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2751910234 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2725767198 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2699875071 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2674231442 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2648833924 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2623680150 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2598767777 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2574094483 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2549657968 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2525455955 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2501486187 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2477746427 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2454234463 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2430948100 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2407885167 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2385043511 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2362421002 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2340015528 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2317824999 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2295847343 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2274080511 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2252522469 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2231171208 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2210024733 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2189081072 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2168338270 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2147794390 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2127447517 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2107295752 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2087337214 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2067570040 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2047992387 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2028602429 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.2026471900 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
